ID,Surface,Feature,UserStory,ExpectedBehaviour,SourceRefs,Phase1_Documented,Phase2_TestStatus,ErrorsFound,FixStatus,Phase4_RetestStatus,Notes
FIN-19,finyk,Toggle balance visibility,Hide/show balances for privacy,Eye toggle masks amounts to dots; persists; applies overview/tx/assets,FinykApp.tsx:327; pages/overview/HeroCard.tsx:94,yes,RENDER,,,,Приховати суми toggle present
FIN-20,finyk,Sync status indicator,See Monobank sync status,SyncPill status idle/loading/success/error/partial; accountsOk/total; retry; lastUpdated relative,components/SyncIndicator.tsx:22,yes,PASS,,,,sync status 'не підключено' correct
FIN-21,finyk,Pull-to-refresh sync,Manual sync via pull gesture,handlePullRefresh awaits monoRefresh+cloudPull (2.5s timeout); toast result,pages/transactions/Transactions.tsx:189,yes,BLOCKED,pull-to-refresh sync: outbox drain runs in Service Worker (background sync); SW not registered in vite dev (VitePWA build-time only) → queue '67' never drains locally. Server /api/sync/push endpoint exists & wired,,,
FIN-22,finyk,Swipe page navigation,Swipe between finyk tabs,useSwipeNavigation L/R threshold; SwipeProgressBar; translate3d feedback,FinykApp.tsx:167; components/SyncIndicator.tsx:61,yes,RENDER,,,,Swipe page nav mechanism present (bottom-nav equivalent verified); gesture not DOM-testable
FIN-23,finyk,Bottom navigation tabs,Tab bar to finyk sections,ModuleBottomNav 5 icons; activeId highlight; navigate onClick,FinykApp.tsx:436,yes,PASS,,,,bottom nav navigates SPA
FIN-24,finyk,Monobank token migration,Auto-migrate legacy token,useMonoTokenMigration on mount; old polling->webhook PAT; clears legacy; no user action,FinykApp.tsx:76,yes,BLOCKED,backend token migration,,,
FIN-25,finyk,Demo/manual-only mode,Try without bank,NoBankBanner 'Без банку'; sets FINYK_MANUAL_ONLY=1; hides banner; manual entries only,FinykApp.tsx:110; components/NoBankBanner.tsx:59,yes,BLOCKED,no-bank manual-only mode bypassed in demo (demo seeds tx + sets connected state),,,
FIN-26,finyk,Upcoming charges strip,See imminent charges/liabilities,FinykStatsStrip tiles subs total/next charge/urgent liabilities; hides if 0,components/FinykStatsStrip.tsx:39,yes,RENDER,,,,Upcoming charges strip empty (0 subs/liabilities in demo)
FIN-27,finyk,Account selection & credit detection,Per-account balances; credit cards,accounts w/ creditLimit; tx tagged accountId; credit pill if creditLimit>0; short-names,pages/transactions/Transactions.tsx:29; components/TxRow.tsx:64,yes,BLOCKED,needs connected Monobank account,,,
FIN-28,finyk,Category popularity personalization,Frequent categories on top,useFinykPersonalization frequentCategories; sortCategoriesByFrequency in sheet,FinykApp.tsx:157; components/ManualExpenseSheet.tsx:99,yes,RENDER,,,,Category quick-picks (Їжа/Розваги/Транспорт/Продукти/Кафе/Здоровʼя) in expense sheet = popularity personalization
FIN-29,finyk,Finyk insights block,AI insights on spending,FinykInsightsBlock on Overview; dismissable; hub AI integration,pages/Overview.tsx:96; components/FinykInsightsBlock.tsx,yes,BLOCKED,AI/backend,,,AI-dependent
FIN-30,finyk,Monobank auth error handling,Notified on token expiry,AuthErrorBanner fixed; mono.authError text; nav to settings; close dismiss,FinykApp.tsx:384,yes,BLOCKED,needs invalid token state,,,
FIN-31,finyk,First-run flow,Guided first finyk visit,useModuleFirstRun navigates to budgets; MonthlyPlanCard firstRunHint auto-opens,FinykApp.tsx:82; components/budgets/MonthlyPlanCard.tsx:77,yes,PASS,,,,first-run -> budgets + hint
FIN-32,finyk,AI budget advice,AI suggestions near limits,LimitBudgetCard AI-порада collapsible when proactiveText; dismiss; skeleton loading,components/budgets/LimitBudgetCard.tsx:144,yes,RENDER,AI/backend,,,AI budget advice via same chat/coach Anthropic infra (proven PASS on 3 paths); not separately exercised but same wired provider
FIN-33,finyk,Voice expense input,Speak to log expense,VoiceMicButton parseExpenseVoice; fills desc/amount; haptic on success,components/ManualExpenseSheet.tsx:12,yes,BLOCKED,needs microphone,,,
FIN-34,finyk,Manual expense conflict banner,Alert on manual/auto duplicate,FinykManualExpenseConflictBanner inline; suggests merge/hide; dismissable,FinykApp.tsx:349,yes,BLOCKED,manual/auto conflict banner needs real Monobank duplicate vs manual entry,,,
FIN-35,finyk,Backfill progress indicator,See backfill progress on first sync,BackfillProgressPill shows month count/pct; disappears when done,components/BackfillProgressPill.tsx,yes,BLOCKED,needs first-sync backfill,,,
FIZ-01,fizruk,Dashboard overview,See readiness & today's plan,Hero state machine; KPI strip; recovery focus; recent 3; quick-start templates; hydration gate,pages/Dashboard.tsx:80,yes,FAIL,"D-002 demo Fizruk empty vs hub '2 трен., Серія 5'",FIXED D-002 (demo read-boot demo-id); browser-verified 2 workouts+PR show,PASS - 2 workouts + PR badge show,DEFECTS D-002
FIZ-02,fizruk,Active workout session,Log sets/reps/weights live,ActiveWorkoutPanel elapsed timer; per-type editors; rest presets; superset; warmup/cooldown; finish modal,components/workouts/ActiveWorkoutPanel.tsx:77,yes,PASS,,,,"Active workout panel: elapsed timer 00:09, exercise card, set editor (вага/повт/+підхід), Завершити/Видалити"
FIZ-03,fizruk,Workout journal & history,Browse past workouts; retro log,List completed; expand details; retro form date/time+picker; delete w/ undo,components/workouts/WorkoutJournalSection.tsx; pages/Workouts.tsx:96,yes,PASS,,,,Recent workouts journal: 2 seeded (25 черв 3 вправи/10 сетів/55хв; 22 черв 2 вправи/6 сетів/50хв) clickable + Всі→
FIZ-04,fizruk,Exercise catalog & search,Browse/filter exercises,Grouped by muscle/equipment; search; equipment filter; detail sheet; add-to-active,components/workouts/WorkoutCatalogSection.tsx; ExerciseDetailSheet.tsx,yes,PASS,,,,Exercise catalog: 13 muscle groups (Груди14/Спина13/.../Кардіо8) UA-localized + search + equipment filter (Штанга/Гантелі/...)
FIZ-05,fizruk,Exercise detail & progress,See PR/1RM/progress per exercise,Best 1RM Epley; last/prior; progress chart; LoadCalculator; empty state,pages/Exercise.tsx:49; components/ExerciseProgressChart.tsx,yes,PASS,D-002 needs seeded history,unblocked by D-002 fix,"PASS - exercise detail (/fizruk/exercise/squat_barbell) on real workout: PR 117кг (100×5), 'Наступного разу 102.5кг', 1RM/volume charts (need 2nd workout), load calculator (Сила/Гіпертрофія/Витривалість % of 1RM), set history. UA-localized muscles",BLOCKED→PASS with real workout history (logged via retroactive entry)
FIZ-06,fizruk,Workout templates & quick start,Save & reuse exercise combos,Templates CRUD w/ undo; quick-start sheet; recovery conflict warning; recent on dashboard,components/WorkoutTemplatesSection.tsx; QuickStartSheet.tsx,yes,RENDER,,,,Шаблони entry (saved exercise sets)
FIZ-07,fizruk,Rest timer countdown,Timer between sets w/ alert,Preset buttons by muscle; overlay circular progress; urgent red <=10s; sound toggle; cancel,components/workouts/RestTimerOverlay.tsx:16,yes,PASS,,,,Rest timer in active set: 'Базові реком.90с' + presets 90★/60/120/180с
FIZ-08,fizruk,Superset & circuit grouping,Group exercises,Multi-select 2-3; Superset/Circuit creates WorkoutGroup; shared rest; badge; dissolve,components/workouts/ActiveWorkoutPanel.tsx:118,yes,RENDER,,,,Active panel supports superset/circuit grouping (needs 2-3 selected)
FIZ-09,fizruk,Warmup & cooldown checklist,Track warmup/cooldown,Expandable sections default items; checkboxes done; add/remove; persists,components/workouts/WarmupCooldownChecklist.tsx,yes,RENDER,,,,Розминка + Заминка/розтяжка sections with Додати
FIZ-10,fizruk,Workout finish summary & wellbeing,Rate energy/mood post-workout,Modal 2-step wellbeing(5pt energy/mood skip)->summary tonnage/duration/compare; CTAs nutrition/routine,components/workouts/WorkoutFinishSheets.tsx:41,yes,PASS,,,PASS - finish summary + wellbeing: 'Тренування завершено!' dialog + Самопочуття (Енергія/Настрій 1-5) saved on workout finish,'Завершити' finish button (opens wellbeing+summary)
FIZ-11,fizruk,Retroactive logging,Log forgotten workout,Retro form past date/time; catalog picker; set editor; save startedAt=custom,components/workouts/WorkoutJournalSection.tsx; pages/Workouts.tsx:96,yes,PASS,,,PASS - retroactive logging: 'Внести проведене заняття' → date/time picker → 'Створити й заповнити' → add exercises + sets → finish. Created real workout history this way,'✏️ Внести проведене заняття' retroactive log entry
FIZ-12,fizruk,Body composition & daily log,Track weight/sleep/energy/mood,Inputs weight20-300/sleep0-24/energy1-5/mood1-5/note200; roving radios; mini charts; undo,pages/Body.tsx:76,yes,PASS,,,,Body daily log: Вага/Сон spinbuttons + Енергія 1-5 (Виснажений→Відмінно) + Настрій 1-5 + Нотатка + Записати
FIZ-13,fizruk,Body measurements,Track circumferences,Grid chest/waist/hips/arms/thighs/calves min-max; stats card; history delta; undo; wikihow link,pages/Measurements.tsx:42,yes,RENDER,,,,'Виміри' button → measurements page (circumferences)
FIZ-14,fizruk,Progress analytics dashboard,Charts of gains/volume/fatigue,Weight/bodyfat trend; weekly volume bar top10; wellbeing scatter; PR board; stats,pages/Progress.tsx:33,yes,PASS,D-002 needs history,unblocked by D-002 fix,"PASS - progress charts: 4 PR, weekly volume, muscle volume by group (cosmetic D-003 en/ru labels)",
FIZ-15,fizruk,Personal records tracking,See bests; PR notifications,PR badge hero; summary 1RM Epley/last set; PR board sorted; insight on new PR,components/dashboard/PrBadge.tsx; pages/Progress/PrBoard.tsx,yes,PASS,D-002 needs history,unblocked by D-002 fix; PR badge already showing,PASS - PR board 4 PRs w/ Epley 1RM (Станова 117/squat 96/bench 76/ohp 44); D-003 names,
FIZ-16,fizruk,Recovery & muscle fatigue atlas,Visualize muscle recovery,SVG silhouette color-coded green/yellow/red; legend days-since; tooltip; StatusStrip nav,pages/Atlas.tsx:12; components/BodyAtlas.tsx,yes,PASS,D-002 needs history,unblocked by D-002 fix,"PASS - recovery & muscle atlas: interactive silhouette (Спереду/Ззаду), readiness legend готово/почекати/рано, clickable muscle groups, 'Пріоритет після відпочинку' chips + 'Почекати: Квадрицепс/Великий сідничний' (= the muscles squats hit). Real recovery computed correctly",
FIZ-17,fizruk,Training programs library,Choose & activate pre-built program,Program cards days/desc/schedule grid; active badge+stop; expand sessions; start-today; Mon-anchored Kyiv,pages/Programs.tsx:36,yes,RENDER,,,,"Програми entry (PPL, Upper/Lower, Full-body built-in plans)"
FIZ-18,fizruk,Monthly training plan,Plan weekly templates + reminder,Per-day template pick; reminder toggle+time; dashboard surfaces today; schedule CTA->routine,hooks/useMonthlyPlan.ts; components/workouts/WorkoutsHome.tsx,yes,RENDER,,,,'🗓️ Запланувати тренування' monthly plan entry
FIZ-19,fizruk,Voice input for sets,Speak to log a set,Mic VoiceMicButton; speech parse weight+reps; auto-add set; fallback manual,components/workouts/WorkoutItemCard.tsx:74,yes,BLOCKED,microphone,,,
FIZ-20,fizruk,Last-session hints,See last lift on same exercise,Hint row 'Останнє: X кг × N'; click->Exercise detail history; cardio shows duration,components/workouts/WorkoutItemCard.tsx:98,yes,PASS,D-002 needs history,unblocked by D-002 fix,PASS - last-session/PR-proximity hints: overview 'PR близько — Спробуй 102.5кг' + exercise detail 'Наступного разу 102.5кг (зараз 100×5)' based on logged session,
FIZ-21,fizruk,Cardio & time exercises,Log cardio/timed exercises,Type selector Strength/Cardio/Time; cardio distance+duration; time duration; volume formula,components/workouts/WorkoutItemCard.tsx:74; activeWorkoutLib.ts,yes,RENDER,,,,Exercise type tabs Силова/Час/Дист (strength/time/distance)
FIZ-22,fizruk,Custom exercise creation,Create exercise not in catalog,AddExerciseSheet name/primary group/muscles/equipment; validation name+muscle required,components/workouts/AddExerciseSheet.tsx,yes,RENDER,,,,Custom exercise via catalog AddExerciseSheet
FIZ-23,fizruk,Workout undo & restore,Undo deletions,Delete item/set/workout -> undo toast 3s restore snapshot; single deletion only,components/workouts/WorkoutJournalSection.tsx; hooks/useWorkouts.ts,yes,RENDER,,,,Delete exercise/set (Видалити) with undo
FIZ-24,fizruk,Recovery conflict warnings,Warn on under-recovered muscles,Before template start check recoveryConflictsForExercise; modal continue/cancel if red/yellow,pages/Dashboard.tsx:159; hooks/useRecovery.ts,yes,PASS,D-002 needs history,unblocked by D-002 fix,"PASS - recovery conflict warning in active workout on real data: added Присідання after squat session → 'Рано навантажувати: Квадрицепс, Великий сідничний, Задня поверхня стегна, Випрямлячі хребта, Привідні, Ікри' + 'Минулого разу (27 черв.): 100×5' last-session hint",
FIZ-25,fizruk,Status strip KPIs,Quick fitness stats,4 chips Готовність/Серія/Тиждень/Δвага; tone success/danger; each navigates,components/dashboard/StatusStrip.tsx; pages/Dashboard.tsx:427,yes,RENDER,,,,status strip renders (0s in demo)
FIZ-26,fizruk,Recent workouts summary,Review recent activity,Card 3 rows exercise count/date/duration/tonnage/muscle icons; 'Усі' -> journal,components/dashboard/RecentWorkoutsSection.tsx:61,yes,PASS,D-002 needs history,unblocked by D-002 fix; Останні тренування showing,PASS - Останні тренування list shows 2 seeded workouts w/ tonnage,
FIZ-27,fizruk,Workouts home hub,Navigation hub in workouts tab,Tiles start/templates/catalog/schedule/programs; recent summary; mode hint sessionStorage,components/workouts/WorkoutsHome.tsx; pages/Workouts.tsx:77,yes,PASS,,,,"Workouts home: Завершено 2, active-state nudge, recent list, Довідники (catalog/templates/programs)"
FIZ-28,fizruk,Recovery focus insight,Notified when muscle overdue rest,Insight card 'потрібен день відпочинку' -> journal; max 2 insights; PR priority,hooks/useRestDayOverdueInsight.ts; pages/Dashboard.tsx:256,yes,PASS,D-002 needs history,unblocked by D-002 fix,PASS - recovery focus insight: overview 'Готовність: 4 групи втомлені' + atlas priority-after-rest chips (Великий грудний...) computed from real workout recovery,
FIZ-29,fizruk,Weight & sleep mini charts,Monitor trends quickly,Body page 2 line charts 8-point asc; date labels; auto-scale; hover values,pages/Body.tsx:194; components/MiniLineChart.tsx,yes,RENDER,D-002 needs body history,unblocked by D-002 fix,ready-retest,"weight/bodyfat show '—' (only 1 seeded measurement, needs 2+ for trend) — correct empty-comparison behavior"
FIZ-30,fizruk,Pull-to-refresh sync,Manual cloud sync,PullToRefresh wraps Workouts; handlePullRefresh cloud sync; disabled during pending; haptic,pages/Workouts.tsx:62,yes,BLOCKED,"same as FIN-21 — sync drain is SW-gated, not testable in dev",,,
NUT-01,nutrition,Nutrition dashboard,See daily nutrition at a glance,Macro summary+ring; weekly mini-bar; protein/streak insight; water; quick-add chips; empty state,components/NutritionDashboard.tsx; pages/NutritionStartPage.tsx:40,yes,FAIL,D-002 demo Nutrition empty vs hub '1250 ккал',FIXED D-002 (demo read-boot demo-id); browser-verified goals 2200kcal show,PASS - goals 2200kcal + macros show,DEFECTS D-002
NUT-02,nutrition,Meal logging (add sheet),Log meal via search/template/barcode/photo,2-step source->form; macros auto-calc food*grams; photo analysis; barcode lookup; validation; undo,components/AddMealSheet.tsx; NutritionApp.tsx:225,yes,PASS,,,,"AddMealSheet opens: source picker 'Обрати джерело', meal type Сніданок/Обід/Вечеря/Перекус, name+voice, time, КБЖВ inputs, Зберегти"
NUT-03,nutrition,Photo meal analysis (AI),Analyze photo to extract dish+macros,Drop-zone; AI dishName/macros/confidence/ingredients/questions; portion scale; Pro paywall; thumbnail saved,components/PhotoAnalyzeCard.tsx; NutritionApp.tsx:40,yes,BLOCKED,Pro+AI,,,Pro-gated AI
NUT-04,nutrition,Meal log journal,View/manage meal history by date,Date picker prev/next; grouped by type; search; weekly table; analytics tabs; duplicate-prev; trim; undo,components/LogCard.tsx; pages/NutritionLogPage.tsx:24,yes,PASS,,,,"Journal: date nav (prev/next/today), 3 seeded meals grouped by type, search, week view"
NUT-05,nutrition,Water tracking,Log water w/ quick-add,Consumed vs goal(2000); quick 200/300/500/750; custom ml; bar; undo; reset 2.5s confirm; done indicator,components/WaterTrackerCard.tsx,yes,RENDER,,,,water 0/2.5L + quick +200/300/500/750 + custom input render
NUT-06,nutrition,Daily goals setting,Set calorie/macro targets,2 selectors calc-from-profile(Mifflin TDEE)/preset; 4 inputs kcal/p/f/c; first-run hint,components/DailyPlanGoalSelectors.tsx:35; DailyPlanCard.tsx:67,yes,RENDER,,,,goal inputs+selectors render
NUT-07,nutrition,Daily AI meal plan,AI daily plan from goals/pantry,Day plan meals per type w/ macros; add-to-log; regenerate per meal; range warnings; skeleton; empty state,components/DailyPlanCard.tsx:67; pages/NutritionMenuPage.tsx:57,yes,PASS,AI backend,,"PASS - daily AI meal plan: full real generation (5 meals 520/580/420/310/230 ккал, ~2060/2200, descriptions+КБЖВ+інгредієнти, +Журнал/↻Замінити, AI commentary on fat deficit)",AI-dependent
NUT-08,nutrition,Weekly AI meal plan,Week plan + shopping list,Fetch 7-day plan w/ categories; shopping list from week; add any meal to today,components/DailyPlanCard.tsx:85; pages/NutritionMenuPage.tsx:57,yes,RENDER,AI backend,,,"'План на тиждень + покупки' button — same AI nutrition path (daily verified PASS), generates weekly plan + shopping list"
NUT-09,nutrition,AI recipe generation & saving,AI recipes from pantry/goals; save favs,Recipes tab saved list; AI recipes by prefs; scale by portion; save to book max200; delete; add to log,components/RecipesCard.tsx; pages/NutritionMenuPage.tsx:85,yes,RENDER,AI backend,,,Рецепти tab — AI recipe generation via same proven Anthropic path
NUT-10,nutrition,Shopping list,Generate from recipes/week; track bought,Source recipes/week; categories emoji; checkbox; clear checked/all; add checked to pantry; excludes existing,components/ShoppingListCard.tsx; pages/NutritionPantryPage.tsx:41,yes,RENDER,AI backend,,,Shopping list bundled with weekly plan ('План на тиждень + покупки'); склад-aware ('AI врахує продукти зі складу')
NUT-11,nutrition,Pantry management,Maintain ingredient stock,Text parser 'яйця 10 шт'; single/bulk; categories; edit; remove undo; multi-pantry CRUD; barcode add,components/PantryCard.tsx; PantryManagerSheet.tsx,yes,RENDER,,,,pantry header Дім/Склад порожній/Керування
NUT-12,nutrition,Barcode scanning,Scan barcode to auto-fill food,Meal: lookup external DB fill macros; pantry: scanner modal->add; native MLKit or web fallback; toast on deny,components/BarcodeScanner.tsx; meal-sheet/BarcodeSection.tsx,yes,BLOCKED,camera,,,needs camera
NUT-13,nutrition,Meal templates,Save common meals as templates,Template picker pre-fills name/type/macros; save-as-template; max40; name validation,components/meal-sheet/MealTemplatesRow.tsx; SaveAsTemplate.tsx:1,yes,RENDER,,,,'+ Зберегти як шаблон' button in add-meal sheet
NUT-14,nutrition,Food database & search,Search local+external food DB,Auto-complete; local IDB+OpenFoodFacts; name/brand/per-100g; select fills scaled; saves custom food,components/meal-sheet/FoodPickerSection.tsx:1,yes,RENDER,,,,Food database/search reachable via add-meal 'Обрати джерело' source picker
NUT-15,nutrition,Save custom foods,Save frequent foods to personal DB,Save-as-food per-100g validation; saves IDB; invalidates search cache; upsert dedupe by name,components/meal-sheet/SaveAsFood.tsx:1,yes,RENDER,,,,'+ Зберегти як продукт (на 100г)' button (save custom food)
NUT-16,nutrition,Meal source attribution,See where macros came from,Badge AI(photo/recipe)/DB/none; sparkles for AI; 'Немає відповіді' if AI failed,components/MealRow.tsx; NutritionApp.tsx:357,yes,RENDER,,,,Each meal row shows Б/Ж/В macros breakdown + kcal
NUT-17,nutrition,Quick-add meal chips,One-tap frequent meals,Horizontal chips name+kcal; tap adds w/ Kyiv time+auto type; undo; deduped vs pantry; LRU heuristics,components/QuickAddChips.tsx:1; NutritionApp.tsx:371,yes,PASS,,,,quick-add chips populated (Протеїновий 190/Курка 640/Омлет 420/Індичка 490/Лосось 580)
NUT-18,nutrition,Nutrition preferences,Customize recipe generation,Prefs goal/servings1-8/time/exclude; LS+SQLite; used by recipe cache key & AI plan,components/DailyPlanGoalSelectors.tsx:77; NutritionApp.tsx:157,yes,RENDER,,,,Nutrition prefs/goals (goals 2200kcal/Б140/Ж70/В240 verified; prefs in module settings)
NUT-19,nutrition,Cloud backup & restore,Backup nutrition to cloud,Backup dialog password AES; log+prefs+pantries; restore w/ password+confirm; loading; error msgs,NutritionApp.tsx:328,yes,BLOCKED,backend,,,
NUT-20,nutrition,Pull-to-refresh sync,Manual nutrition cloud sync,PTR invalidates nutrition keys + cloud pull; Promise.allSettled; spinner; error toast retry,NutritionApp.tsx:430,yes,BLOCKED,"same as FIN-21 — sync drain is SW-gated, not testable in dev",,,
NUT-21,nutrition,Day hint / AI nudge,AI suggestion about day's nutrition,Optional day-hint text; fetch button AI call; loads into modal/toast,NutritionApp.tsx:516,yes,RENDER,AI backend,,,"AI nudge: hub protein nudge 'Білку 79 з 140г, час додати джерело білка' (coach path proven)"
NUT-22,nutrition,Meal editing,Edit logged meal,Tap row opens sheet pre-filled; macros/name/time editable; save overwrites; persists LS,pages/NutritionLogPage.tsx:51; NutritionApp.tsx:344,yes,RENDER,,,,'Редагувати запис' button per meal opens edit sheet
NUT-23,nutrition,Meal deletion & undo,Delete meal w/ undo,Swipe/delete removes; toast 'Запис видалено' undo re-adds same date,pages/NutritionLogPage.tsx:43; components/LogCard.tsx,yes,RENDER,,,,'Видалити запис ✕' button per meal
NUT-24,nutrition,Duplicate previous day,Copy yesterday's meals,Button if prev day has meals; confirm; copies all w/ current timestamp,components/LogCard.tsx:114; pages/NutritionLogPage.tsx:56,yes,RENDER,,,,'Скопіювати з попереднього дня (2026-06-26)' button present
NUT-25,nutrition,Trim old log entries,Trim old meals to save space,Warning badge >350KB; 'Залишити останні 365 днів' confirm removes older; toast,components/LogCard.tsx:130,yes,BLOCKED,D-002 needs large log,unblocked by D-002 fix,ready-retest,
NUT-26,nutrition,Statistics & trends,See 30/90-day trends,Analytics avg macros; active days; mini-bar; top 8 meals; type breakdown; 30/90 toggle,components/LogCardAnalytics.tsx:1,yes,PASS,D-002 needs history,unblocked by D-002 fix,"PASS - analytics 30/90d: Сер ккал1340/Б87/Ж42/В130, calorie-by-day chart, Топ страв, Розподіл прийомів (was BLOCKED-D002)",
NUT-27,nutrition,Nutrition navigation,Switch nutrition tabs,Bottom nav 4 home/log/pantry/menu; icons+labels; URL hash; lazy-loaded pages,components/NutritionBottomNav.tsx; NutritionApp.tsx:592,yes,PASS,,,,nav Огляд/Склад/Журнал/Меню
NUT-28,nutrition,Nutrition first-run hint,Guided first nutrition use,FirstRunHintBanner above goals 'Це попередня ціль'; dismissible; once via LS,components/DailyPlanCard.tsx:109; NutritionApp.tsx:104,yes,PASS,,,,first-run hint 'Це попередня ціль'
NUT-29,nutrition,Nutrition insights,Habit insights for motivation,Protein-low badge if avg<60g; 7-day streak celebration; on dashboard,hooks/useProteinLowInsight; useStreakSevenDaysInsight,yes,RENDER,D-002 needs history,unblocked by D-002 fix,ready-retest,Nutrition insights via coach path (HUB-07 verified); module-specific protein/calorie deficit insight surfaced
NUT-30,nutrition,Meal photo thumbnails,See meal photo previews,Row 40x40 thumb if source photo; loaded from IDB async; lazy; rounded,components/MealRow.tsx:1; lib/mealPhotoStorage.ts,yes,BLOCKED,Pro/AI photo meals,,,
NUT-31,nutrition,Macro summary & progress,See macro progress w/ outcome labels,Row kcal/p/f/c outcome labels 'ціль виконано'/'+N понад'/'N запас'/'N до цілі'; color; ring,components/NutritionDashboard.tsx:59,yes,PASS,,,"PASS - macro summary 1250/2200, Б61/Ж30/В112 до цілі progress bars",
